Node Number = 15060
730325.441000 4145767.090000 37.415184091 
730325.441000 4150734.690000 37.459896663
730325.441000 4155702.290000 37.504608842
730325.441000 4160669.900000 37.549320715
730325.441000 4165637.500000 37.594032105
730325.441000 4170605.110000 37.638743189
730325.441000 4175572.710000 37.683453788
730325.441000 4180540.320000 37.728164082
730325.441000 4185507.920000 37.772873889
730325.441000 4190475.520000 37.817583301
730325.441000 4195443.130000 37.862292407
730325.441000 4200410.730000 37.907001025
730325.441000 4205378.340000 37.951709337
730325.441000 4210345.940000 37.996417162
730325.441000 4215313.540000 38.041124589
730325.441000 4220281.150000 38.085831708
730325.441000 4225248.750000 38.130538339
730325.441000 4230216.360000 38.175244662
730325.441000 4235183.960000 38.219950497
730325.441000 4240151.570000 38.264656022
730325.441000 4245119.170000 38.309361058
730325.441000 4250086.770000 38.354065694
730325.441000 4255054.380000 38.398770021
730325.441000 4260021.980000 38.443473857
730325.441000 4264989.590000 38.488177384
730325.441000 4269957.190000 38.532880419
730325.441000 4274924.790000 38.577583054
730325.441000 4279892.400000 38.622285377
730325.441000 4284860.000000 38.666987209
730325.441000 4289827.610000 38.711688729
730325.441000 4294795.210000 38.756389757
730325.441000 4299762.820000 38.801090472
730325.441000 4304730.420000 38.845790695
730325.441000 4309698.020000 38.890490515
730325.441000 4314665.630000 38.935190022
730325.441000 4319633.230000 38.979889035
730325.441000 4324600.840000 39.024587735
730325.441000 4329568.440000 39.069285940
730325.441000 4334536.040000 39.113983741
730325.441000 4339503.650000 39.158681227
730325.441000 4344471.250000 39.203378219
730325.441000 4349438.860000 39.248074895
730325.441000 4354406.460000 39.292771076
730325.441000 4359374.070000 39.337466941
730325.441000 4364341.670000 39.382162310
730325.441000 4369309.270000 39.426857273
730325.441000 4374276.880000 39.471551919
730325.441000 4379244.480000 39.516246068
725103.541000 4148218.190000 37.438530025
725832.507000 4143880.010000 37.399303587
726035.964000 4152646.280000 37.478160809
726176.778000 4157311.290000 37.520116433
726052.268000 4162034.000000 37.562656029
726081.143000 4166883.830000 37.606301883
726076.918000 4171741.350000 37.650024698
726074.047000 4176607.700000 37.693826282
726071.455000 4181479.270000 37.737674406
726068.721000 4186356.610000 37.781574122
726066.158000 4191238.970000 37.825518599
726064.019000 4196125.860000 37.869503365
726061.010000 4201007.270000 37.913438645
726080.364000 4205865.640000 37.957160618
725567.808000 4210242.430000 37.996680216
726087.600000 4214634.100000 38.036076611
726054.002000 4219492.720000 38.079812968
726056.162000 4224387.740000 38.123867625
726055.082000 4229290.610000 38.167993357
726054.649000 4234195.580000 38.212137441
726054.252000 4239101.580000 38.256290399
726053.968000 4244008.230000 38.300448792
726053.778000 4248915.330000 38.344610823
726053.679000 4253822.660000 38.388774513
726053.669000 4258730.060000 38.432938422
726053.747000 4263637.350000 38.477100930
726053.912000 4268544.360000 38.521260508
726054.162000 4273450.920000 38.565415625
726054.353000 4278357.270000 38.609568478
726054.547000 4283261.790000 38.653704472
726047.240000 4288170.920000 38.697883477
726048.392000 4293070.210000 38.741971386
726049.246000 4297966.380000 38.786030904
726057.266000 4302870.840000 38.830162794
726058.037000 4307770.500000 38.874252955
726059.147000 4312668.330000 38.918326172
726060.001000 4317564.450000 38.962383676
726060.727000 4322459.070000 39.006427325
726061.167000 4327352.480000 39.050459770
726062.245000 4332244.070000 39.094475282
726062.274000 4337135.380000 39.138488155
726062.660000 4342042.440000 39.182642265
726074.331000 4346991.270000 39.227168891
725781.559000 4352321.130000 39.275202871
726114.954000 4357648.190000 39.323048076
725984.160000 4362364.860000 39.365521738
725874.841000 4367066.420000 39.407853545
726416.100000 4371294.750000 39.445756531
725400.595000 4375432.030000 39.483248201
727030.000000 4381850.000000 39.540565044
720885.284000 4144464.090000 37.405752784
719796.752000 4148438.400000 37.441786998
721349.972000 4151830.450000 37.471950619
722571.127000 4155158.920000 37.501618384
721742.125000 4159495.380000 37.540851797
721893.109000 4164431.370000 37.585245772
721875.409000 4169202.690000 37.628197704
721863.593000 4173963.320000 37.671051645
721855.079000 4178734.360000 37.713998137
721847.832000 4183518.110000 37.757058369
721840.599000 4188313.100000 37.800219409
721834.338000 4193117.600000 37.843465450
721828.956000 4197930.380000 37.886785441
721829.860000 4202746.310000 37.930131887
721764.674000 4207549.520000 37.973379610
721760.935000 4212429.580000 38.017303679
721815.400000 4217242.450000 38.060608379
721813.844000 4222080.320000 38.104151417
721810.930000 4226921.930000 38.147728076
721809.473000 4231765.950000 38.191325695
721808.185000 4236611.910000 38.234940359
721807.221000 4241459.410000 38.278568428
721806.527000 4246308.060000 38.322206404
721806.092000 4251157.490000 38.365850960
721805.906000 4256007.340000 38.409498858
721805.964000 4260857.270000 38.453147037
721806.263000 4265706.930000 38.496792349
721806.801000 4270555.980000 38.540431734
721807.574000 4275404.080000 38.584062132
721807.512000 4280250.880000 38.627680660
721808.498000 4285096.520000 38.671288109
721750.193000 4289946.650000 38.714950447
721756.985000 4294745.600000 38.758135531
721812.589000 4299615.440000 38.801945911
721816.122000 4304453.660000 38.845484429
721819.566000 4309287.330000 38.888981643
721822.131000 4314117.280000 38.932445223
721824.498000 4318944.090000 38.975880218
721826.323000 4323767.940000 39.019288335
721826.891000 4328589.280000 39.062673806
721830.981000 4333407.540000 39.106030289
721829.993000 4338225.940000 39.149388945
721834.354000 4343033.760000 39.192650658
721894.601000 4347817.750000 39.235683288
721354.252000 4352045.210000 39.273861176
721984.353000 4356396.940000 39.312857877
721670.319000 4360918.440000 39.353623422
721306.760000 4365009.320000 39.390526693
