x,y,z
116.608884,34.606997,2.942491
116.608439,34.856997,2.941632
116.882765,34.339399,1.878744
117.132764,34.339838,0
126.649928,24.338416,0
126.64502,27.20073,0
126.640112,30.063043,0
126.635204,32.925357,0
126.630296,35.78767,0
126.625388,38.649984,0
126.620479,41.512297,0
126.615571,44.374611,0
125.648215,25.336663,0
125.644349,27.591186,0
125.640483,29.84571,0
125.636617,32.100234,0
125.632751,34.354758,0
125.628885,36.609282,0
125.625019,38.863806,0
125.621153,41.11833,0
125.617287,43.372853,0
124.646502,26.334909,0
124.643065,28.339433,0
124.639627,30.343956,0
124.63619,32.348479,0
124.632753,34.353003,0
124.629316,36.357526,0
124.625878,38.362049,0
124.622441,40.366573,0
124.619004,42.371096,0
123.786289,24.333399,0
123.75156,44.369574,0
123.644789,27.333156,0
123.642114,28.892732,0
123.63944,30.452308,0
123.636766,32.011884,0
123.634092,33.571459,0
123.631417,35.131035,0
123.628743,36.690611,0
123.626069,38.250187,0
123.623394,39.809763,0
123.62072,41.369339,0
123.392514,25.332711,0
123.361293,43.368886,0
122.643076,28.331402,0
122.641012,29.53502,0
122.640784,26.331395,0
122.638948,30.738638,0
122.636884,31.942256,0
122.63482,33.145874,0
122.632756,34.349492,0
122.630692,35.55311,0
122.628628,36.756728,0
122.626564,37.960346,0
122.6245,39.163964,0
122.622436,40.367582,0
122.613025,42.367568,0
122.084136,27.330422,0
122.059865,41.366594,0
121.641362,29.329649,0
121.640039,30.101662,0
121.638715,30.873676,0
121.637391,31.645689,0
121.636067,32.417703,0
121.634743,33.189716,0
121.633419,33.96173,0
121.632096,34.733743,0
121.630772,35.505757,0
121.629448,36.277771,0
121.628124,37.049784,0
121.6268,37.821798,0
121.625477,38.593811,0
121.624153,39.365825,0
121.438475,28.329292,0
121.417679,40.365463,0
121.136813,25.328759,0
121.105299,43.364918,0
120.92265,24.328382,0
120.887548,44.364537,0
120.868582,29.328295,0
120.851272,39.364465,0
120.639649,30.327896,0
120.638271,31.131513,0
120.636893,31.93513,0
120.635515,32.738747,0
120.635067,26.327881,0
120.634137,33.542364,0
120.632759,34.345981,0
120.631381,35.149599,0
120.630003,35.953216,0
120.628625,36.756833,0
120.627247,37.56045,0
120.625869,38.364067,0
120.607047,42.36404,0
120.523483,27.327687,0
120.499009,41.363849,0
120.233874,28.327182,0
120.212922,40.363344,0
120.095802,29.326941,0
120.078392,39.363106,0
119.835022,30.326486,0
119.821137,38.362652,0
119.637936,31.326142,0
119.637073,31.829156,0
119.636211,32.33217,0
119.635348,32.835184,0
119.634486,33.338198,0
119.633623,33.841212,0
119.632761,34.344226,0
119.631898,34.84724,0
119.631035,35.350254,0
119.630173,35.853268,0
119.62931,36.356282,0
119.628448,36.859296,0
119.627585,37.36231,0
119.323022,29.325587,0
119.305511,39.361747,0
119.134069,31.325259,0
119.123653,37.361424,0
119.030394,30.325076,0
119.029273,28.325071,0
119.016405,38.361237,0
119.008165,40.361225,0
118.96283,27.324953,0
118.938154,41.361104,0
118.881112,25.324807,0
118.849305,43.360951,0
118.636223,32.324389,0
118.630201,31.324377,0
118.629349,26.324367,0
118.629302,36.360553,0
118.61972,37.360538,0
118.601069,42.360513,0
118.550242,29.324233,0
118.532631,39.360388,0
118.225767,30.323667,0
118.211673,38.359822,0
118.126334,31.323494,0
118.115787,37.359651,0
118.05901,24.323365,0
118.023537,44.3595,0
117.824672,28.322961,0
117.803407,40.359107,0
117.777462,29.32288,0
117.75975,39.359028,0
117.634509,33.322635,0
117.634335,33.424443,0
117.63416,33.526251,0
117.633986,33.628059,0
117.633811,33.729867,0
117.633637,33.831675,0
117.633462,33.933483,0
117.633287,34.035291,0
117.633113,34.137099,0
117.632938,34.238907,0
117.632764,34.340715,0
117.632589,34.442524,0
117.632415,34.544332,0
117.63224,34.64614,0
117.632065,34.747948,0
117.631891,34.849756,0
117.631716,34.951564,0
117.631542,35.053372,0
117.631367,35.15518,0
117.631192,35.256988,0
117.631018,35.358796,0
117.622467,31.322611,0
117.611855,37.358765,0
117.532176,33.322456,0
117.528671,35.358616,0
117.429842,33.322277,0
117.426324,35.358436,0
117.421139,30.322257,0
117.406941,38.358406,0
117.402178,27.322219,0
117.377298,41.358359,0
117.327508,33.322097,0
117.323977,35.358256,0
117.225175,33.321918,0
117.22163,35.358076,0
117.133653,33.821759,0
117.131876,34.857917,0
117.122841,33.321739,0
117.119283,35.357896,0
117.1186,31.321728,0
117.107922,37.357879,0
117.020507,33.32156,0
117.016936,35.357716,1.246816
117.004682,29.321526,0
116.98687,39.357669,0
116.918174,33.32138,0
116.91459,35.357536,2.250163
116.883225,34.07132,0.680364
116.882305,34.607478,2.316025
116.81584,33.321201,0
116.812243,35.357356,2.801692
116.713506,33.321022,0
116.709896,35.357176,2.397181
116.632796,34.320882,1
116.632734,34.357038,4
116.625411,25.320855,0
116.623631,26.320853,0
116.620072,28.32085,0
116.616512,30.320847,0
116.614732,31.320846,0
116.611173,33.320842,0
116.607549,35.356996,2.726699
116.603989,37.356993,1.191956
116.60221,38.356991,0
116.59865,40.356988,0
116.595091,42.356985,0
116.593311,43.356983,0
116.58599,34.3208,2
116.585923,34.356956,3
116.508839,33.320663,0
116.505202,35.356816,2.66509
116.406505,33.320484,0
116.402855,35.356636,2.583116
116.336451,34.070362,0.92242
116.335462,34.606516,2.803319
116.304172,33.320305,0
116.300508,35.356456,2.501881
116.231902,29.320172,0
116.21399,39.35631,0
116.201838,33.320125,0
116.198161,35.356276,2.430219
116.110865,31.319963,0
116.100057,37.356106,0.928684
116.099504,33.319946,0
116.095814,35.356096,2.372313
116.086913,33.819925,0
116.085001,34.856076,2.619355
115.997171,33.319767,0
115.993467,35.355916,2.328268
115.894837,33.319587,0
115.891121,35.355736,2.295793
115.841525,27.319485,0
115.816443,41.355614,0
115.811885,30.319437,0
115.797478,38.355576,0
115.792503,33.319408,0
115.788774,35.355556,2.272744
115.69017,33.319229,0
115.686427,35.355376,2.257402
115.606998,31.31908,0
115.596124,37.35522,0.838636
115.587836,33.31905,0
115.587648,33.420857,0
115.58746,33.522664,0
115.587273,33.624472,0
115.587085,33.726279,0
115.586897,33.828086,0
115.586709,33.929893,0
115.586521,34.031701,0.894175
115.586334,34.133508,1.647787
115.586146,34.235315,1.8557
115.585958,34.337123,2.267914
115.58577,34.43893,2.284098
115.585582,34.540737,2.334586
115.585395,34.642545,2.379693
115.585207,34.744352,2.401854
115.585019,34.846159,2.401534
115.584831,34.947967,2.404094
115.584643,35.049774,2.4101
115.584456,35.151581,2.400138
115.584268,35.253388,2.320613
115.58408,35.355196,2.248414
115.459122,29.318818,0
115.441109,39.354951,0
115.415471,28.31874,0
115.393893,40.354869,0
115.195371,24.318348,0
115.159525,44.354463,0
115.10313,31.318197,0
115.092191,37.354334,0.815401
115.007257,30.318028,0
114.992746,38.35416,0
114.686342,29.317464,0
114.668229,39.353591,0
114.617913,26.31734,0
114.599263,31.317315,0
114.589682,32.317299,0
114.589112,42.353457,0
114.588259,37.353448,0.824736
114.582237,36.353435,1.514071
114.36971,25.316903,0
114.337317,43.353016,0
114.280872,27.316751,0
114.255587,41.352869,0
114.21087,28.31663,0
114.20263,30.316618,0
114.189136,40.35275,0
114.188014,38.352745,0
114.095396,31.316432,0
114.084326,37.352561,0.829562
113.913562,29.31611,0
113.895348,39.352232,0
113.591529,31.315549,0
113.590601,31.81856,0
113.589673,32.32157,0
113.588745,32.824581,0
113.587817,33.327591,0
113.586889,33.830602,0
113.585961,34.333612,1.564988
113.585033,34.836623,1.524689
113.584105,35.339633,1.401251
113.583177,35.842644,1.325358
113.582249,36.345654,1.279644
113.581321,36.848665,1.142418
113.580393,37.351675,0.820953
113.398002,30.315208,0
113.383282,38.35133,0
113.140781,29.314756,0
113.122468,39.350873,0
113.006269,28.314519,0
112.984378,40.350631,0
112.720219,27.314016,0
112.694732,41.350124,0
112.612196,26.313826,0
112.593375,30.313799,0
112.591892,31.11741,0
112.59041,31.921022,0
112.588928,32.724634,0
112.587445,33.528245,0
112.585963,34.331857,1.041126
112.58448,35.135468,0.833967
112.583134,42.349929,0
112.582998,35.93908,0.765451
112.581515,36.742691,0.749605
112.580033,37.546303,0.619721
112.57855,38.349915,0
112.368001,29.313402,0
112.349587,39.349514,0
112.331732,24.313331,0
112.295514,44.349426,0
112.114009,25.312951,0
112.081322,43.349048,0
111.801668,28.312409,0
111.779621,40.348513,0
111.595221,29.312049,0
111.593797,30.084057,0
111.592373,30.856065,0
111.590949,31.628073,0
111.589525,32.400081,0
111.5881,33.172089,0
111.586676,33.944097,0
111.585252,34.716105,0.09622
111.583828,35.488114,0.095187
111.582404,36.260122,0.105536
111.58098,37.03213,0.116392
111.579555,37.804138,0.122616
111.578131,38.576146,0
111.576707,39.348154,0
111.159567,27.311282,0
111.133876,41.347379,0
110.606478,26.310312,0
110.597068,28.310298,0
110.594847,29.513908,0
110.592627,30.717517,0
110.590406,31.921127,0
110.588186,33.124737,0
110.585966,34.328346,0
110.583745,35.531956,0
110.581525,36.735565,0
110.579305,37.939175,0
110.577156,42.346401,0
110.577084,39.142784,0
110.574864,40.346394,0
119.858308,25.308999,0
119.825328,43.34508,0
119.598914,27.308548,0
119.596037,28.868113,0
119.59316,30.427678,0
119.590283,31.987243,0
119.587406,33.546808,0
119.584529,35.106373,0
119.581652,36.665938,0
119.578775,38.225503,0
119.575898,39.785068,0
119.573021,41.344634,0
119.468092,24.308314,0
119.431502,44.344389,0
118.60076,26.306798,0
118.597062,28.311307,0
118.593364,30.315817,0
118.589667,32.320326,0
118.585969,34.324835,0
118.582271,36.329345,0
118.578573,38.333854,0
118.574875,40.338364,0
118.571177,42.342873,0
117.602606,25.305048,0
117.598447,27.559556,0
117.594288,29.814064,0
117.590129,32.068572,0
117.58597,34.32308,0
117.581811,36.577588,0
117.577652,38.832096,0
117.573493,41.086605,0
117.569334,43.341113,0
116.604453,24.303297,0
116.599172,27.165591,0
